Date,Action,Price
2018-08-08,BUY,6305.799805
2018-08-09,SELL,6568.22998
2018-08-10,BUY,6184.709961
2018-08-17,SELL,6580.629883
2018-08-18,BUY,6423.759766
2018-09-05,SELL,6792.830078
2018-09-08,BUY,6225.97998
2018-09-10,SELL,6329.700195
2018-09-11,BUY,6321.200195
2018-09-14,SELL,6512.709961
2018-09-16,BUY,6517.180176
2018-09-24,SELL,6595.410156
2018-09-25,BUY,6446.470215
2018-10-27,SELL,6480.379883
2018-10-30,BUY,6334.27002
2018-11-13,SELL,6359.490234
2018-11-14,BUY,5738.350098
2018-11-18,SELL,5623.540039
2018-11-19,BUY,4871.490234
2018-11-21,SELL,4602.169922
2018-11-22,BUY,4365.939941
2018-11-23,SELL,4347.109863
2018-11-24,BUY,3880.76001
2018-11-25,SELL,4009.969971
2018-11-26,BUY,3779.129883
2018-11-29,SELL,4278.84668
2018-11-30,BUY,4017.268555
2018-12-01,SELL,4214.671875
2018-12-03,BUY,3894.130859
2018-12-04,SELL,3956.893799
2018-12-07,BUY,3419.937256
2018-12-09,SELL,3614.234375
2018-12-10,BUY,3502.656006
2018-12-12,SELL,3486.950195
2018-12-13,BUY,3313.677246
2018-12-20,SELL,4134.441406
2018-12-21,BUY,3896.543701
2019-01-02,SELL,3943.409424
2019-01-03,BUY,3836.741211
2019-01-04,SELL,3857.717529
2019-01-05,BUY,3845.19458
2019-01-06,SELL,4076.632568
2019-01-07,BUY,4025.248291
2019-01-08,SELL,4030.8479
2019-01-12,BUY,3661.301025
2019-01-14,SELL,3706.052246
2019-01-15,BUY,3630.675293
2019-01-17,SELL,3678.563965
2019-01-18,BUY,3657.839355
2019-01-19,SELL,3728.568359
2019-01-20,BUY,3601.013672
2019-01-22,SELL,3604.577148
2019-01-24,BUY,3600.865479
2019-01-27,SELL,3583.96582
2019-01-29,BUY,3448.116943
2019-02-02,SELL,3521.060791
2019-02-03,BUY,3464.013428
2019-02-05,SELL,3466.357422
2019-02-06,BUY,3413.767822
2019-05-11,SELL,7204.771484
2019-05-12,BUY,6972.371582
2019-05-16,SELL,7884.90918
